56103,25,40719,13959,2867,15422,1534,15782,1330,16463,3207,18999
17933,722,57506,15744,4191,20837,916,18213,538,18799,273,21993
3305,370,42090,18364,2046,18364,914,18928,1397,21245,2366,23939
79437,855,59962,16919,3754,18126,1131,19115,732,20539,962,26042
87148,25,43612,14518,2896,15934,1520,16645,1291,17230,4820,19818
7717,122,38411,20645,2919,27353,1906,29561,1749,30054,6346,35306
19589,16,30318,20329,1689,21121,932,21179,1907,29751,1929,29352
27061,214,51387,15851,35038,31665,32356,32670,32014,36085,47330,37933
58270,1394,73914,24348,5953,34012,75296,24348,4180,32256,4142,62805
35641,679,27859,25400,15392,25400,17308,27558,45396,25400,45867,25400
24492,104,44952,22725,2455,23453,813,24258,705,24304,971,25267
77653,746,17542,10847,114028,10847,215,11126,137,11126,440,11286
88369,204,50748,14849,27508,21237,29348,23558,30100,26884,30778,30380
23152,10,29072,16553,1761,17097,856,17324,690,18178,664,19551
80232,166,66177,17076,4061,17892,2659,22565,2752,23646,4648,29613
55850,615,26037,16535,1206,17437,5140,24023,32903,16535,32098,16535
27085,206,49370,15796,28861,26665,29706,31700,29372,36025,28296,31314
32886,168,62946,17564,3311,18069,2344,20653,2198,20860,9365,51438
51310,807,53064,15248,3230,15682,1253,18692,912,19940,2160,23237
92452,285,63892,16601,3831,17872,1513,19933,1693,19574,4517,25194
